Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
invitees ,tvui,postPlay,,,2023-02-06 21:43:10
invitees ,tvui,postPlay,,,2023-02-06 21:43:10
invitees ,tvui,screenSaver,,,2023-02-06 21:43:10
invitees ,tvui,postPlay,,,2023-02-06 21:28:11
invitees ,tvui,screenSaver,,,2023-02-06 21:28:11
invitees ,tvui,playback,,,2023-02-06 21:16:41
invitees ,tvui,postPlay,,,2023-02-06 21:16:41
invitees ,tvui,movieDetails,,,2023-02-06 20:30:01
invitees ,tvui,playback,,,2023-02-06 20:30:01
invitees ,tvui,browseTitles,,,2023-02-06 20:29:55
invitees ,tvui,movieDetails,,,2023-02-06 20:29:55
invitees ,tvui,profilesGate,,,2023-02-06 20:29:51
invitees ,tvui,browseTitles,,,2023-02-06 20:29:51
invitees ,tvui,postPlay,,,2023-02-06 20:22:29
invitees ,tvui,playback,,,2023-02-06 20:22:29
invitees ,tvui,playback,,,2023-02-06 20:22:22
invitees ,tvui,postPlay,,,2023-02-06 20:22:22
invitees ,tvui,movieDetails,,,2023-02-06 19:51:24
invitees ,tvui,playback,,,2023-02-06 19:51:24
invitees ,tvui,browseTitles,,,2023-02-06 19:51:03
invitees ,tvui,movieDetails,,,2023-02-06 19:51:03
invitees ,tvui,profilesGate,,,2023-02-06 19:50:52
invitees ,tvui,browseTitles,,,2023-02-06 19:50:52
invitees ,tvui,postPlay,,,2023-02-05 22:28:58
invitees ,tvui,playback,,,2023-02-05 22:28:58
invitees ,tvui,playback,,,2023-02-05 22:28:50
invitees ,tvui,postPlay,,,2023-02-05 22:28:50
invitees ,tvui,postPlay,,,2023-02-05 21:40:21
invitees ,tvui,playback,,,2023-02-05 21:40:21
invitees ,tvui,playback,,,2023-02-05 21:40:14
invitees ,tvui,postPlay,,,2023-02-05 21:40:14
invitees ,tvui,movieDetails,,,2023-02-05 21:07:22
invitees ,tvui,playback,,,2023-02-05 21:07:22
invitees ,tvui,movieDetails,,,2023-02-05 21:07:15
invitees ,tvui,browseTitles,,,2023-02-05 21:07:15
invitees ,tvui,profilesGate,,,2023-02-05 21:06:58
invitees ,tvui,browseTitles,,,2023-02-05 21:06:58
invitees ,tvui,postPlay,,,2023-02-05 20:46:23
invitees ,tvui,playback,,,2023-02-05 20:46:23
invitees ,tvui,playback,,,2023-02-05 20:46:19
invitees ,tvui,postPlay,,,2023-02-05 20:46:19
invitees ,tvui,episodesSelector,,,2023-02-05 20:22:56
invitees ,tvui,playback,,,2023-02-05 20:22:56
invitees ,tvui,movieDetails,,,2023-02-05 20:22:53
invitees ,tvui,episodesSelector,,,2023-02-05 20:22:53
invitees ,tvui,movieDetails,,,2023-02-05 20:22:47
invitees ,tvui,browseTitles,,,2023-02-05 20:22:47
invitees ,tvui,profilesGate,,,2023-02-05 20:21:09
invitees ,tvui,browseTitles,,,2023-02-05 20:21:09
invitees ,tvui,profilesGate,,,2023-02-05 19:04:55
invitees ,tvui,profilesGate,,,2023-02-05 14:13:11
invitees ,tvui,browseTitles,,,2023-02-05 14:13:11
invitees ,tvui,movieDetails,,,2023-02-05 13:43:10
invitees ,tvui,browseTitles,,,2023-02-05 13:43:10
invitees ,tvui,postPlay,,,2023-02-05 13:43:07
invitees ,tvui,movieDetails,,,2023-02-05 13:43:07
invitees ,tvui,playback,,,2023-02-05 13:42:42
invitees ,tvui,postPlay,,,2023-02-05 13:42:42
invitees ,tvui,movieDetails,,,2023-02-05 11:52:51
invitees ,tvui,playback,,,2023-02-05 11:52:51
invitees ,tvui,browseTitles,,,2023-02-05 11:52:46
invitees ,tvui,movieDetails,,,2023-02-05 11:52:46
invitees ,tvui,profilesGate,,,2023-02-05 11:44:05
invitees ,tvui,browseTitles,,,2023-02-05 11:44:05
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:35:02
invitees ,iOS,movieDetails,,,2023-02-05 11:35:01
invitees ,iOS,movieDetails,,,2023-02-05 11:34:54
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:34:54
invitees ,iOS,movieDetails,,,2023-02-05 11:34:44
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:34:44
invitees ,iOS,movieDetails,,,2023-02-05 11:34:22
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:34:21
invitees ,iOS,movieDetails,,,2023-02-05 11:34:17
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:34:17
invitees ,iOS,movieDetails,,,2023-02-05 11:34:10
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:34:09
invitees ,iOS,movieDetails,,,2023-02-05 11:34:06
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:34:06
invitees ,iOS,movieDetails,,,2023-02-05 11:33:58
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:33:57
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:33:42
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:33:35
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:18:50
invitees ,iOS,search,,,2023-02-05 11:18:47
invitees ,iOS,search,,,2023-02-05 11:18:24
invitees ,iOS,search,,,2023-02-05 11:18:24
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:18:19
invitees ,iOS,search,,,2023-02-05 11:18:19
invitees ,iOS,movieDetails,,,2023-02-05 11:18:17
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:18:17
invitees ,iOS,movieDetails,,,2023-02-05 11:18:11
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:18:10
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:17:38
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:17:32
invitees ,iOS,browseTitlesGallery,,,2023-02-05 11:17:31
invitees ,iOS,browseTitles,,,2023-02-05 11:17:23
invitees ,iOS,search,,,2023-02-05 11:17:20
invitees ,iOS,browseTitles,,,2023-02-05 11:17:20
invitees ,iOS,search,,,2023-02-05 11:16:16
invitees ,iOS,browseTitles,,,2023-02-05 11:16:16
invitees ,iOS,movieDetails,,,2023-02-05 11:15:32
invitees ,iOS,movieDetails,,,2023-02-05 11:15:32
invitees ,iOS,browseTitles,,,2023-02-05 11:15:32
invitees ,iOS,movieDetails,,,2023-02-05 11:15:27
invitees ,iOS,browseTitles,,,2023-02-05 11:15:26
invitees ,iOS,profilesGate,,,2023-02-05 11:14:47
invitees ,iOS,browseTitles,,,2023-02-05 11:14:47
invitees ,iOS,profilesGate,,,2023-02-05 11:14:45
invitees ,tvui,playback,,,2023-02-04 21:56:43
invitees ,tvui,movieDetails,,,2023-02-04 21:56:43
invitees ,tvui,playback,,,2023-02-04 21:41:29
invitees ,tvui,postPlay,,,2023-02-04 21:41:29
invitees ,tvui,postPlay,,,2023-02-04 21:41:24
invitees ,tvui,playback,,,2023-02-04 21:41:24
invitees ,tvui,postPlay,,,2023-02-04 21:00:43
invitees ,tvui,playback,,,2023-02-04 21:00:43
invitees ,tvui,playback,,,2023-02-04 21:00:36
invitees ,tvui,postPlay,,,2023-02-04 21:00:36
invitees ,tvui,movieDetails,,,2023-02-04 20:22:52
invitees ,tvui,playback,,,2023-02-04 20:22:52
invitees ,tvui,browseTitles,,,2023-02-04 20:22:45
invitees ,tvui,movieDetails,,,2023-02-04 20:22:45
invitees ,tvui,browseTitles,,,2023-02-04 20:21:55
invitees ,tvui,profilesGate,,,2023-02-04 20:21:55
invitees ,tvui,postPlay,,,2023-01-28 23:54:25
invitees ,tvui,screenSaver,,,2023-01-28 23:54:25
invitees ,tvui,postPlay,,,2023-01-28 23:44:23
invitees ,tvui,playback,,,2023-01-28 23:44:23
invitees ,tvui,movieDetails,,,2023-01-28 22:23:33
invitees ,tvui,playback,,,2023-01-28 22:23:33
invitees ,tvui,movieDetails,,,2023-01-28 22:23:25
invitees ,tvui,postPlay,,,2023-01-28 22:23:25
invitees ,tvui,playback,,,2023-01-28 22:22:34
invitees ,tvui,postPlay,,,2023-01-28 22:22:34
invitees ,tvui,movieDetails,,,2023-01-28 22:17:51
invitees ,tvui,profilesGate,,,2023-01-28 22:17:51
invitees ,tvui,postPlay,,,2023-01-28 21:47:52
invitees ,tvui,movieDetails,,,2023-01-28 21:47:52
invitees ,tvui,playback,,,2023-01-28 21:47:37
invitees ,tvui,postPlay,,,2023-01-28 21:47:37
invitees ,tvui,movieDetails,,,2023-01-28 21:01:43
invitees ,tvui,playback,,,2023-01-28 21:01:43
invitees ,tvui,postPlay,,,2023-01-28 21:01:38
invitees ,tvui,movieDetails,,,2023-01-28 21:01:38
invitees ,tvui,screenSaver,,,2023-01-28 21:01:37
invitees ,tvui,postPlay,,,2023-01-28 21:01:37
invitees ,tvui,postPlay,,,2023-01-28 20:59:47
invitees ,tvui,screenSaver,,,2023-01-28 20:59:47
invitees ,tvui,playback,,,2023-01-28 20:49:45
invitees ,tvui,postPlay,,,2023-01-28 20:49:45
invitees ,tvui,movieDetails,,,2023-01-28 19:37:29
invitees ,tvui,playback,,,2023-01-28 19:37:29
invitees ,tvui,movieDetails,,,2023-01-28 19:37:26
invitees ,tvui,search,,,2023-01-28 19:37:26
invitees ,tvui,search,,,2023-01-28 19:36:51
invitees ,tvui,movieDetails,,,2023-01-28 19:36:51
invitees ,tvui,profilesGate,,,2023-01-28 19:36:49
invitees ,tvui,movieDetails,,,2023-01-28 19:36:49
invitees ,tvui,profilesGate,,,2023-01-28 19:36:47
invitees ,tvui,movieDetails,,,2023-01-28 19:28:53
invitees ,tvui,playback,,,2023-01-28 19:28:53
invitees ,tvui,search,,,2023-01-28 19:28:49
invitees ,tvui,movieDetails,,,2023-01-28 19:28:49
invitees ,tvui,search,,,2023-01-28 19:28:13
invitees ,tvui,browseTitles,,,2023-01-28 19:28:13
invitees ,tvui,browseTitles,,,2023-01-28 19:27:33
invitees ,tvui,profilesGate,,,2023-01-28 19:27:33
invitees ,tvui,movieDetails,,,2023-01-28 16:45:54
invitees ,tvui,profilesGate,,,2023-01-28 16:45:54
invitees ,tvui,postPlay,,,2023-01-28 16:15:56
invitees ,tvui,movieDetails,,,2023-01-28 16:15:56
invitees ,tvui,playback,,,2023-01-28 16:15:52
invitees ,tvui,postPlay,,,2023-01-28 16:15:52
invitees ,tvui,movieDetails,,,2023-01-28 14:27:33
invitees ,tvui,playback,,,2023-01-28 14:27:33
invitees ,tvui,search,,,2023-01-28 14:27:25
invitees ,tvui,movieDetails,,,2023-01-28 14:27:25
invitees ,tvui,search,,,2023-01-28 14:27:04
invitees ,tvui,browseTitles,,,2023-01-28 14:27:04
invitees ,tvui,profilesGate,,,2023-01-28 14:26:56
invitees ,tvui,browseTitles,,,2023-01-28 14:26:56
invitees ,tvui,profilesGate,,,2023-01-28 14:26:53
invitees ,tvui,profilesGate,,,2023-01-25 10:02:33
invitees ,tvui,movieDetails,,,2023-01-21 22:06:45
invitees ,tvui,profilesGate,,,2023-01-21 22:06:45
invitees ,tvui,postPlay,,,2023-01-21 21:36:47
invitees ,tvui,movieDetails,,,2023-01-21 21:36:47
invitees ,tvui,postPlay,,,2023-01-21 21:36:42
invitees ,tvui,playback,,,2023-01-21 21:36:42
