Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a01:cb19:6bb:3200:e9f0:9abc:e24f:eda4,Nouvelle-Aquitaine,2018-10-08T07:45:41.002Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,87.231.187.57,Auvergne-Rhône-Alpes,2018-10-07T22:01:45.290Z
NFPS3-001-JFXUZG0G6PDDREP6JPH3M0LY50,FR,Système PS3&trade;,Sony PS3,89.158.189.207,Auvergne-Rhône-Alpes,2018-09-17T14:33:26.100Z
NFAPPL-01-IPAD6=11-45F98DA919BF0666A19FE0C7944F06F0DC808D4FF1479BF2995571A9CA3B810C,FR,Apple iPad 5th Gen (Wi-Fi) iPad,Apple iPad 5th Gen (Wi-Fi) iPad,89.158.189.207,Auvergne-Rhône-Alpes,2018-09-13T15:48:45.069Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,87.231.187.57,Auvergne-Rhône-Alpes,2018-08-29T11:29:52.014Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,90.96.87.135,Brittany,2018-08-25T09:46:40.059Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,90.96.30.191,Burgundy-Franche-Comté,2018-08-25T06:54:03.231Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,87.231.187.57,Auvergne-Rhône-Alpes,2018-08-24T07:19:30.023Z
NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,FR,iPad Air 2 WiFi,iPad Air 2 WiFi,2a01:cb19:6bb:3200:756f:88a:7d9f:2690,Nouvelle-Aquitaine,2018-08-16T19:16:28.235Z
NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,FR,iPad Air 2 WiFi,iPad Air 2 WiFi,2a01:cb19:6bb:3200:756f:88a:7d9f:2690,Nouvelle-Aquitaine,2018-08-14T20:02:12.216Z
NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,FR,iPad Air 2 WiFi,iPad Air 2 WiFi,2a01:cb19:6bb:3200:756f:88a:7d9f:2690,Nouvelle-Aquitaine,2018-08-12T20:29:00.874Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,87.231.187.57,Auvergne-Rhône-Alpes,2018-07-28T00:26:05.589Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,77.136.43.101,Île-de-France²,2018-07-27T23:30:37.721Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,87.231.187.57,Auvergne-Rhône-Alpes,2018-07-27T21:30:27.496Z
NFPS3-001-JFXUZG0G6PDDREP6JPH3M0LY50,FR,Système PS3&trade;,Sony PS3,89.2.152.155,Auvergne-Rhône-Alpes,2018-06-26T08:03:38.063Z
NFCDFF-MC-EGH7376E1D9DP29V1D1L1G9RQPT9XA,FR,Netflix Firefox MAC (Cadmium) HTML 5,Netflix Firefox MAC (Cadmium) HTML 5,87.231.187.57,Auvergne-Rhône-Alpes,2018-05-13T12:24:20.024Z
NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,FR,iPad Air 2 WiFi,iPad Air 2 WiFi,2a01:cb19:6b3:300:2032:dc77:b71a:d731,Nouvelle-Aquitaine,2018-02-03T06:41:44.152Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.235.162,Nouvelle-Aquitaine,2018-01-30T13:15:20.720Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.206.9,Occitanie,2018-01-29T12:01:27.859Z
