Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
heisenberg,NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,Safari MAC (Cadmium),2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,
heisenberg,SFRSTB701=0002778962,SFR STB7 Set Top Box,2022-10-04T17:24:46.236Z,2023-02-26T14:08:36.912Z,2022-10-04T17:27:08.289Z,2023-02-26T14:08:36.912Z,2023-01-28T08:21:20.833Z,2023-02-26T13:31:31.823Z,2023-02-13T13:00:41.008Z,2023-02-25T20:48:07.409Z,
heisenberg,NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,Apple iPhone XR,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,
invitees ,SFRSTB701=0002367079,SFR STB7 Set Top Box,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,2021-10-31T15:42:23.623Z,2023-02-24T16:28:36.937Z,2021-10-31T19:58:51.239Z,2023-02-24T16:28:36.937Z,
invitees ,NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,Xiaomi aquaman Streaming Stick,2021-07-28T19:35:51.103Z,2023-02-22T21:19:24.638Z,2021-07-28T19:36:39.184Z,2023-02-22T20:35:26.467Z,2021-07-28T21:01:53.475Z,2023-02-22T21:19:24.638Z,2021-07-28T21:02:54.119Z,2023-02-22T20:35:26.467Z,
heisenberg,NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,Netflix Chrome MAC (Cadmium) HTML 5,2022-05-10T14:54:24.780Z,2023-02-21T05:53:17.855Z,2022-05-10T14:57:12.379Z,2023-02-21T05:53:17.855Z,2022-05-10T14:54:24.780Z,2023-02-21T05:53:17.855Z,2022-05-10T14:57:12.379Z,2023-02-21T05:53:17.855Z,
Mymy 🌍,NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,2021-10-31T11:19:25.960Z,2023-02-20T19:29:52.545Z,2021-10-31T11:19:25.960Z,2023-02-20T19:29:52.545Z,2022-03-13T18:12:05.480Z,2023-02-20T19:29:52.545Z,2022-03-13T18:12:05.480Z,2023-02-20T19:29:52.545Z,
Nadia,SFRSTB701=0002778962,SFR STB7 Set Top Box,2022-10-04T17:24:46.236Z,2023-02-26T14:08:36.912Z,2022-10-04T17:27:08.289Z,2023-02-26T14:08:36.912Z,2022-10-22T10:59:26.008Z,2023-02-18T15:02:07.984Z,2022-10-22T11:00:20.884Z,2023-02-18T15:02:07.984Z,
Mymy 🌍,NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,Apple iPhone XR,2021-10-30T20:38:54.244Z,2023-02-18T12:35:38.088Z,2022-04-28T11:29:03.556Z,2023-02-18T12:35:38.088Z,2021-10-30T20:38:54.244Z,2023-02-18T12:35:38.088Z,2022-04-28T11:29:03.556Z,2023-02-18T12:35:38.088Z,
Nadia,NFAPPL-02-IPHONE12=8-735580E1FB73FA31CD400C8F75F145E6EC947C4839BB25BB32DCFFB3F7631214,Apple iPhone SE Gen 2 iPhone,2021-03-12T18:08:38.327Z,2023-02-17T13:03:35.436Z,2021-03-12T18:08:38.327Z,2022-11-10T10:34:17.001Z,2021-03-12T18:08:38.327Z,2023-02-17T13:03:35.436Z,2021-03-12T18:08:38.327Z,2022-11-10T10:34:17.001Z,
heisenberg,NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,Netflix Windows App - Cadmium Windows Mobile,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,
invitees ,NFAPPL-01-IPAD6=11-45F98DA919BF0666A19FE0C7944F06F0DC808D4FF1479BF2995571A9CA3B810C,Apple iPad 5th Gen (Wi-Fi) iPad,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,
invitees ,NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,Sony PS3,2018-09-02T14:07:20.456Z,2023-02-06T20:22:28.804Z,2018-11-30T22:16:16.150Z,2023-02-06T19:51:02.468Z,2021-02-27T20:20:19.212Z,2023-02-06T20:22:28.804Z,2021-02-27T20:20:19.212Z,2023-02-06T19:51:02.468Z,
invitees ,SFRSTB701=0002778962,SFR STB7 Set Top Box,2022-10-04T17:24:46.236Z,2023-02-26T14:08:36.912Z,2022-10-04T17:27:08.289Z,2023-02-26T14:08:36.912Z,2022-12-10T17:27:25.596Z,2023-02-05T11:52:48.427Z,2022-12-10T17:28:41.040Z,2023-02-05T11:52:48.427Z,
Mymy 🌍,SFRSTB701=0002778962,SFR STB7 Set Top Box,2022-10-04T17:24:46.236Z,2023-02-26T14:08:36.912Z,2022-10-04T17:27:08.289Z,2023-02-26T14:08:36.912Z,2023-02-02T09:17:21.427Z,2023-02-02T12:03:27.464Z,2023-02-02T09:18:17.081Z,2023-02-02T12:03:27.464Z,
heisenberg,NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,iPad Air Cellular,2021-04-05T05:37:05.716Z,2023-02-11T06:23:02.974Z,2021-04-05T05:37:05.716Z,2023-02-11T06:23:02.974Z,2023-02-01T17:19:00.729Z,2023-02-01T17:46:55.324Z,2023-02-01T17:19:00.729Z,2023-02-01T17:46:55.324Z,
Nadia,SSTV-KTS1-0000000000000002357505,Samsung 2017 Kant-S DTV Smart TV,2021-09-06T12:56:15.608Z,2023-01-29T14:57:30.881Z,2021-09-06T12:56:15.608Z,2023-01-29T14:57:30.881Z,2023-01-29T14:57:30.881Z,2023-01-29T14:57:30.881Z,2023-01-29T14:57:30.881Z,2023-01-29T14:57:30.881Z,
Nadia,SSTV-NVT2-0000000000000003627535,Samsung 2014 Novatek UHD TV,2018-05-01T16:15:14.606Z,2022-11-07T19:10:01.120Z,2021-02-27T07:28:47.756Z,2022-11-07T19:10:01.120Z,2018-05-01T16:15:14.606Z,2022-11-07T19:10:01.120Z,2021-03-12T11:26:19.308Z,2022-11-07T19:10:01.120Z,
heisenberg,NFCDCH-MC-HF5DHUQA24EP2GGJ0AU541H8D7VPN9,Netflix Chrome MAC (Cadmium) HTML 5,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,
heisenberg,SFRSTB701=0002367079,SFR STB7 Set Top Box,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,2022-11-05T14:24:46.369Z,2022-11-05T14:25:38.820Z,,,
Mymy 🌍,NFAPPL-01-IPAD7=5-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,
heisenberg,NFCDIE-03-JP1AMMQCUYE3LJYV485FG9TH0T0E4Q,Edge OSS - Windows (Cadmium),2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,
Nadia,NFANDROID1-PRV-P-XIAOMREDMI=NOTE=7-11053-0B0AB6DC976F2C53B294C5834FE6A28FE0E24D012265D0466D66669813065BC9C,DefaultWidevineAndroidPhone,2021-12-25T20:28:59.112Z,2022-09-01T22:25:57.662Z,2021-12-25T20:28:59.112Z,2022-09-01T22:25:57.662Z,2022-09-01T21:37:43.659Z,2022-09-01T22:25:57.662Z,2022-09-01T21:37:43.659Z,2022-09-01T22:25:57.662Z,
Mymy 🌍,SSTV-NVT2-0000000000000003627535,Samsung 2014 Novatek UHD TV,2018-05-01T16:15:14.606Z,2022-11-07T19:10:01.120Z,2021-02-27T07:28:47.756Z,2022-11-07T19:10:01.120Z,2021-08-01T17:23:29.270Z,2022-08-28T11:34:10.916Z,2021-08-01T17:23:29.270Z,2022-08-28T11:34:10.916Z,
